UUID,Name,Category,Conformity,Laenderkennung,Declaration owner,Registrierungsnummer,Bezugsgroesse,Bezugseinheit,Flaechengewicht (kg/m2),Rohdichte (kg/m3),Schichtdicke (m),Laengengewicht (kg/m),Stueckgewicht (kg),Umrechungsfaktor auf 1kg,biogener Kohlenstoffgehalt in kg,GWPtotal (A1),GWPtotal (A1-A3),GWPtotal (A2),GWPtotal (A3),GWPtotal (A4),GWPtotal (A5),GWPtotal (B1),GWPtotal (B2),GWPtotal (B3),GWPtotal (B4),GWPtotal (B5),GWPtotal (B6),GWPtotal (B7),GWPtotal (C1),GWPtotal (C2),GWPtotal (C3),GWPtotal (C4),GWPbiogenic,GWPfossil
4e754af4-9517-4078-8a7c-75745e54846c,"Wall system - HT Labor + Hospitaltechnik GmbH - Steel sheet wall panel, galvanized, powder-coated",'Komposite' / 'Systembauteile' / 'Innenwände','EN 15804+A2',DE,HT Labor + Hospitaltechnik GmbH,EPD-HWP-32.1,1,qm,23.0,,,,,,,,30.29,,,0.87,0.92,,48.0,0.0,1.35,0.0,0.0,0.0,0.0,0.18,1.35,0.34,0.558395,82.7342
1e1700f2-ce12-47ea-bbb5-a5e144a9ac9a,Wall system - HT Labor + Hospitaltechnik GmbH - Tile wall panel with galvanized support panel,'Komposite' / 'Systembauteile' / 'Innenwände','EN 15804+A2',DE,HT Labor + Hospitaltechnik GmbH,EPD-HWP-32.1,1,qm,31.0,2880.48,,,,,,,43.17,,,1.17,1.37,,48.0,0.0,1.91,0.0,0.0,0.0,0.0,0.25,1.82,0.45,-1.4045390000000002,97.4412
a79b2299-3ddb-4472-89b0-1bde7975266e,"Wall system - HT Labor + Hospitaltechnik GmbH -Steel sheet wall panel, galvanized, coated with foil",'Komposite' / 'Systembauteile' / 'Innenwände','EN 15804+A2',DE,HT Labor + Hospitaltechnik GmbH,EPD-HWP-32.1,1,qm,23.0,3237.17,,,,,,,32.24,,,0.86,0.71,,48.0,0.0,1.42,0.0,0.0,0.0,0.0,0.18,1.35,0.34,0.516625,84.6216
51fa051b-38fb-422f-96e2-b2ee6e6f9445,Wallcoverings on cellulose fibre base,'Beschichtungen' / 'Innenbeschichtungen' / 'Wand- und Deckenbeläge','DIN EN 15804+A2' / 'ISO 14025',GLO,IGI - The Global Wallcoverings Association,EPD-IGI-20230438-IBG1-EN,1,qm,0.146,,0.001,,,6.867,,,0.17126455935333,,,0.0317497,0.0274556214228897,,,,,,,,2.660889e-05,0.0011909,0.162254017654544,0.0086791135692366,2.931682674400804e-16,0.4054066
87482767-02eb-4bf7-96fa-c61e6c4fe2cd,Wallcoverings on non-woven base,'Beschichtungen' / 'Innenbeschichtungen' / 'Wand- und Deckenbeläge','DIN EN 15804+A2' / 'ISO 14025',GLO,IGI - The Global Wallcoverings Association,EPD-IGI-20230435-IBG1-EN,1,qm,0.178,,0.001,,,5.631,,,0.178654169151132,,,0.0340571,0.0174844029891136,,,,,,,,2.660889e-05,0.0014836,0.229529753258883,0.0019690766008708,-6.227657278756737e-16,0.4659996
efd7fbad-374b-459f-bd23-07e064da533a,Washed pumice,'Mineralische Baustoffe' / 'Zuschläge' / 'Bims','EN 15804+A2 (EF 3.1)',DE,Sphera Solutions GmbH,,1,kg,,800.0,,,,,,,0.0142424417646909,,,,,,,,,,,,,,,,-0.0003051350823999,0.0142988007938089
37bca81b-c287-4685-a6ba-7b224e7cef02,"Water based lacquer, white",'Beschichtungen' / 'Lacke und Lasuren' / 'Lacksysteme Metall','EN 15804+A2 (EF 3.1)',DE,Sphera Solutions GmbH,,1,kg,,,,,,,,,1.95581925620059,,,,,,,,,,,,,0.003714002609766,0.854401215820911,,-0.24041418399090111,3.0528032312792743
ad346f6d-b8ca-485d-8020-e60560ea2b4b,Waterproof NHL mortar: NURAGHE RASO,'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Mauermörtel','EN 15804+A2' / 'ISO 14025',IT,Miniera San Romedio Srl,EPD-Kiwa-EE-337-EN,1000,kg,,1500.0,,,,,,,473.0,,,,,,,,,,,,7.62,1.37,1.73,-16.9,0.17317,465.76
56251b2e-c726-476f-9eb2-4b4d8222c9cf,"Waterproof, flexible protective layer under ceramic coverings",'Beschichtungen' / 'Grundierungen' / 'Grundierungen Farben und Putze','EN 15804+A2 (EF 3.1)',DE,Sphera Solutions GmbH,,1,kg,,,,,,,,,1.32818726880519,,,,,,,,,,,,0.0001577978658589,0.0041992636583189,0.566149088299626,,0.0156828347831998,1.8816167151540533
8a431dd2-7c2d-4e2b-b5d0-c68458a516c9,Weldable hot rolled reinforcing steel bars,'Metalle' / 'Stahl und Eisen' / 'Betonstabstahl','EN 15804+A2' / 'ISO 14025',UZ,LI DA METAL TECHNOLOGY LLC,EPD-Kiwa-EE-313-EN,1,kg,,7850.0,,,,,,0.22197710929076,,0.0163713640096971,0.649711995045453,,,,,,,,,,0.0,0.0071130218647543,0.0,0.0002912174779044,-0.0008844431020442999,0.8959708992463661
